Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Software / Web Dev,Full-Stack Developer – Banking Tech,India (Mumbai/Bengaluru),Build banking-software features for Kotak Mahindra Bank. (Glassdoor),"Java/Kotlin, APIs, Databases",14,19,16.5,Kotak Mahindra Bank
Software / Web Dev,Software Engineer – WealthTech/Banks,India / Remote,Build software tools for Morgan Stanley’s digital/wealth platforms.,"JavaScript/Java, APIs, Databases",14,20,17,Morgan Stanley
Software / Web Dev,Software Engineer – Data & Tech Platform,India / Remote,Build technical systems/features for Nasdaq’s trading/data platform.,"JavaScript/Java, APIs, Databases",14,22,18,Nasdaq
Software / Web Dev,Software Engineer – Hybrid Cloud Platform,India,Build core software for Nutanix’s hybrid-cloud infrastructure. (Nutanix),"Go/Java, Cloud APIs, Databases",14,19,16.5,Nutanix
Software / Web Dev,Software Engineer – Backend/AI Platform,India (Bengaluru),Develop backend systems for Observe.AI’s contact-center/AI platform.,"Python/Java, APIs, Cloud/AI awareness",14,22,18,Observe.AI
Software / Web Dev,Software Developer – Cloud / Infrastructure Apps,India,Develop cloud/infra software at Oracle India for large-scale enterprise systems. (Oracle),"Java/C#, APIs, Cloud systems",14,18,16,Oracle Corporation
Software / Web Dev,Software Engineer – Cloud/WealthTech,India,Build software solutions for Principal’s digital/wealth management business.,"Java/JavaScript, APIs, databases",14,20,17,Principal Financial Group
Software / Web Dev,Software Engineer – Privacy / ML Platform,India,Develop software at Privado.ai for privacy/ML platforms.,"Python/Java, ML, privacy/security domain",14,24,19,Privado.ai
Software / Web Dev,Software Engineer – Enterprise CRM/Cloud Systems,India,Develop software for Salesforce’s cloud/CRM platform.,"JavaScript/Java, APIs, Databases",14,20,17,Salesforce
Software / Web Dev,Software Engineer – Digital & Engineering Platforms,India,Build software for Schneider Electric’s digital/IoT systems. (Schneider Electric),"Java/Python, APIs, IoT/cloud fundamentals",14,22,18,Schneider Electric
Software / Web Dev,Software Engineer – Cloud / Digital Energy Services,India,Develop software for Shell’s digital energy platforms.,"Java/Node.js, APIs, Cloud",14,18,16,Shell
Software / Web Dev,Software Engineer – Platform/Experience,India,Build features for Sprinklr’s customer-experience/social-media-platform.,"JavaScript/Java, APIs, Databases",14,20,17,Sprinklr
Software / Web Dev,Software Engineer – Cloud Communications Platform,India / Remote,Build backend services for Twilio’s communications APIs and platforms.,"JavaScript/Node.js, APIs, cloud knowledge",14,22,18,Twilio
Software / Web Dev,Software Engineer – Ride-Hailing Platform,India (Mumbai/Bengaluru),Build features for Uber’s ride-hailing/mobility platform.,"Java/Kotlin, APIs, Databases",14,30,22,Uber Technologies
Software / Web Dev,Software Engineer – Digital Payments Platform,India (Mumbai),Build features for Visa India’s payments & fintech platforms.,"Java/Kotlin/Node.js, APIs, finance domain",14,30,22,Visa India
Software / Web Dev,Software Engineer – Application Performance,India,Develop backend systems for AppDynamics (application performance monitoring).,"Java, APIs, databases, monitoring tools",13,23,18,AppDynamics
Software / Web Dev,Software Engineer – EDA / Electronic-Design Software,India,Develop software tools for Cadence’s electronic-design automation (EDA) products.,"C++, Python, Domain knowledge (EDA)",13,28,20.5,Cadence
Software / Web Dev,Software Engineer – Medical Imaging Platform,India,Develop software components for Philips’ imaging and diagnostic systems.,"Java/Python, APIs, medical domain basics",13,22,17.5,Philips
Software / Web Dev,Software Engineer – Payments & Crypto Platform,India / Remote,Build backend/frontend for Checkout.com’s payments/crypto platform.,"Node.js/Go/Java, APIs, DBs",13,19,16,Checkout.com
Software / Web Dev,Software Engineer – Voice/AI Platform,India / Remote,Build features for Dialpad’s cloud voice & communication platform.,"JavaScript/Go/Java, APIs, Real-time systems",13,18,15.5,Dialpad
Software / Web Dev,Software Engineer – Mobile / Health Platform,India / Remote,Develop features for Doximity’s healthcare professional social/network platform.,"JavaScript/React, APIs, Databases",13,20,16.5,Doximity
Software / Web Dev,Software Engineer – Data Protection & Backup,India / Remote,Build software for Druva’s data-protection and backup solutions.,"Java/Node.js, Cloud APIs, Databases",13,22,17.5,Druva
Software / Web Dev,Software Engineer – Risk/Decisioning,India / Remote,Build components for FICO’s risk-decisioning and analytics platforms.,"Java/Scala, APIs, data systems",13,27,20,FICO
Software / Web Dev,Software Engineer – Threat Platform,India / Remote,Develop backend/frontend for FireEye’s threat-detection platform.,"JavaScript/Java, APIs, security domain",13,18,15.5,FireEye
Software / Web Dev,Software Engineer – SaaS Platform,India / Remote,Build features for HubSpot’s SaaS products. (HubSpot),"JavaScript/Node.js, APIs, Databases",13,19,16,HubSpot
Software / Web Dev,Software Engineer – Hardware-Control Systems,India,Develop control software for semiconductor equipment at KLA.,"C++/Python, hardware interfacing, Control systems",13,20,16.5,KLA Corporation
Software / Web Dev,Software Engineer – Networking Platform,India / Remote,Build features for Aryaka’s networking/cloud platform.,"Python/Go, Networking, APIs",13,22,17.5,Aryaka Networks
Software / Web Dev,Software Engineer – 5G / Telecom Systems,India,Work on software development for Nokia’s telecom network products. (Nokia Corporation | Nokia),"C/C++, Networking, Telecom protocols",13,22,17.5,Nokia
Software / Web Dev,Software Engineer – API/Platform Tools,India,Develop tools and platform APIs at Postman for API development workflows.,"JavaScript/Node.js, APIs, databases",13,22,17.5,Postman
Software / Web Dev,Software Engineer – Mobile/Consumer Electronics,India (Various),Develop software/app features for Samsung’s electronics/mobile division. (Glassdoor),"Kotlin/Swift/React Native, APIs, Databases",13,21,17,Samsung
Software / Web Dev,Full-Stack Engineer – E-commerce/Merchant Platform,India,Develop features for Shopify’s e-commerce/merchant-platform. (Shopify),"JavaScript/Node.js, APIs, Databases",13,18,15.5,Shopify
Software / Web Dev,Software Engineer – Cloud/Data Platform,India,Build software at Sigmoid for big-data/analytics platforms.,"Java/Python, Big Data, APIs",13,22,17.5,Sigmoid
Software / Web Dev,Software Engineer – Game/Media Platforms,India,Develop software for Sony’s gaming/media/consumer-electronics platforms.,"C++/JavaScript, APIs, Gaming/CE domain",13,21,17,Sony
Software / Web Dev,Software Engineer – Analytics/Search Platform,India / Remote,Develop features for ThoughtSpot’s analytics/search product.,"JavaScript/Java, APIs, Databases",13,19,16,ThoughtSpot
Software / Web Dev,Software Engineer – Streaming Platform,India (Los Angeles/India),Build features for Roku’s streaming/hardware platform (remote/hybrid).,"JavaScript/Node.js, APIs, media/streaming domain",13,24,18.5,"Roku, Inc."
Software / Web Dev,Software Engineer – Financial Services Platform,India (Bengaluru),Build software for Wells Fargo’s fintech/financial-services platforms.,"Java/JavaScript, APIs, Databases",13,20,16.5,Wells Fargo
Software / Web Dev,Software Engineer – Distributed SQL / Database Platform,India,Develop features for Yugabyte’s distributed database platform.,"Java/C++, DB systems, distributed systems",13,26,19.5,Yugabyte
Software / Web Dev,Software Engineer – AI/NLP Platform,India,Build software at Yellow .ai for conversational-AI/chatbot platforms.,"Python/Node.js, NLP/AI, APIs",13,17,15,Yellow .ai
Software / Web Dev,Full-Stack Engineer,India,Build web apps and backend services for EXL’s digital & analytics business.,"JavaScript/Node.js, Databases, REST APIs",12,24,18,EXL Service
Software / Web Dev,Software Engineer – RPA/Java,"Noida, UP, India",Build and maintain software tools that automate tasks at UKG. (UKG Careers),"Java, RPA, Automation, API’s",12,20,16,UKG
Software / Web Dev,Software Engineer – FinTech Platform,"Bengaluru, India",Build features for Paytm’s consumer & merchant fintech/financial services.,"Kotlin/Java/React, APIs, Databases",12,21,16.5,Paytm
Software / Web Dev,Full-Stack Engineer,India,Build and maintain web + backend systems for Yahoo Inc.’s products. (yahooinc.com),"JavaScript/Node or Java, APIs, Databases",12,18,15,Yahoo Inc.
Software / Web Dev,Full-Stack Engineer,India,Build and maintain web and backend features for the streaming platform.,"JavaScript/Node.js or Java, REST APIs, Databases",12,21,16.5,Disney+ Hotstar (Jobaaj)
Software / Web Dev,Software Engineer – Backend,India,Build and maintain backend services for streaming & content platforms.,"Java/Node.js, REST APIs, Databases",12,19,15.5,Warner Bros. Discovery (HBO/Warner Media) (WarnerMedia)
Software / Web Dev,Software Engineer – Backend Systems,India,"Build backend systems for Tata 1mg’s platform services (e-pharmacy, health tech). (1mg)","Java/Python, REST APIs, databases",12,20,16,Tata 1mg
Software / Web Dev,Software Engineer – SaaS Platform,India / Remote,Build backend/frontend for Bazaarvoice’s review & user-generated content platform.,"JavaScript/Node.js, React, APIs, databases",12,19,15.5,Bazaarvoice
Software / Web Dev,Software Developer – Video Conferencing Platform,India / Remote,Build features for BlueJeans (collaboration video platform).,"React/Node.js, APIs, Databases",12,20,16,BlueJeans
Software / Web Dev,Software Engineer – Cloud Monitoring,Bengaluru / India,Build cloud-based monitoring and management tools for enterprise software.,"Java/Python, REST APIs, Cloud platforms",12,18,15,BMC Software (BMC)
Software / Web Dev,Software Engineer – Collaboration Platform,India,Develop features for Box’s collaboration apps and integrations.,"JavaScript/Node.js/Java, APIs, Databases",12,20,16,Box
Software / Web Dev,Software Engineer – Digital Banking Platform,India,Build software features for Capital One’s digital banking operations.,"Java/Kotlin, APIs, Databases",12,20,16,Capital One
Software / Web Dev,Software Engineer – FinTech Platform,India,Develop features for Fiserv’s finance/fintech product offerings.,"Java/Kotlin, APIs, Databases",12,17,14.5,Fiserv
Software / Web Dev,Software Engineer – Payments Platform,India,Develop backend/frontend for Cashfree’s payments & fintech services.,"JavaScript/Node.js/Java, APIs, DBs",12,18,15,Cashfree
Software / Web Dev,Software Engineer – Enterprise Systems,India,Build enterprise software tools for DE SHAW’s operations.,"Java/.NET, APIs, Databases",12,20,16,DE SHAW & Co. India
Software / Web Dev,Software Engineer – Enterprise Software,India / Remote,Work on enterprise software development at EPAM Systems.,"JavaScript/Java, APIs, Databases",12,19,15.5,EPAM Systems
Software / Web Dev,Software Developer – FinTech Platform,India,Build features for FactSet’s financial data & analytics platform.,"JavaScript/Java, APIs, databases",12,20,16,FactSet
Software / Web Dev,Software Engineer – E-commerce Backend,India (Bengaluru),Develop backend systems for Flipkart’s e-commerce platform. (flipkartcareers.com),"Java/Kotlin, APIs, databases",12,18,15,Flipkart
Software / Web Dev,Software Engineer – Enterprise Services,India,Build enterprise-level service software at Fujitsu.,"Java/Python, APIs, databases",12,19,15.5,Fujitsu
Software / Web Dev,Software Engineer – Autopilot Software,India,Develop software for drone autopilot and control systems.,"C/C++, RTOS, control systems",12,20,16,Garuda Aerospace
Software / Web Dev,Software Engineer – Digital Industry Apps,India,Develop software for GE India’s digital industrial apps.,"Java/Node.js, APIs, databases",12,30,21,GE India
Software / Web Dev,Software Engineer – FinTech App,India,Build features for OneCard’s digital credit card app.,"Kotlin/JavaScript, APIs, databases",12,18,15,ONE (OneCard)
Software / Web Dev,Software Engineer – Platform Services,India / Remote,Build backend services for Glassdoor’s tech platform.,"JavaScript/Java, APIs, databases",12,32,22,Glassdoor
